X,Y
-79.63892241,43.5894727
-79.60191723,43.58756149
-79.58958274,43.5869215
-79.552581,43.5849928
-79.61337441,43.59716601
-79.60103764,43.59652737
-79.53935809,43.59331231
-80.04452877,43.62756934
-79.78526897,43.61492149
-79.74824168,43.61306212
-79.6865351,43.60993399
-79.64951454,43.60803961
-79.62483558,43.6067694
-79.58781928,43.60485315
-79.56314318,43.60356836
-79.55080556,43.60292377
-79.51379444,43.60098127
-79.50145799,43.60033086
-80.0437206,43.63653931
-79.77207408,43.6232708
-79.66098427,43.61763918
-79.62395941,43.61573572
-79.61161836,43.61509831
-79.59927759,43.61445945
-79.58693712,43.61381913
-79.56225702,43.61253411
-79.54991741,43.61188941
-79.53757808,43.61124326
-79.50056184,43.60929605
-79.61073991,43.62406463
-79.59839714,43.62342565
-79.56137058,43.62149997
-79.53668764,43.62020889
-79.52434661,43.61956117
-79.51200586,43.61891198
-79.49966541,43.61826134
-79.95562831,43.65033294
-79.91857153,43.64853391
-79.9062198,43.64793132
-79.89386835,43.64732726
-79.80741583,43.64305798
-79.72097682,43.63871717
-79.58517193,43.63175141
-79.54814023,43.62982102
-79.49876869,43.62722674
-79.48642653,43.62657452
-79.91774253,43.65750315
-79.75716542,43.64955412
-79.57194272,43.64007559
-79.55959682,43.63943201
-79.53490589,43.63814048
-79.47318365,43.63488612
-79.46084008,43.63423087
-79.43615383,43.632916
-79.42381114,43.63225638
-79.62045188,43.65160204
-79.60810283,43.65096419
-79.58340559,43.6496841
-79.57105741,43.64904187
-79.55870951,43.64839818
-79.5463619,43.64775304
-79.53401458,43.64710643
-79.52166755,43.64645836
-79.50932081,43.64580883
-79.48462821,43.6445054
-79.45993678,43.64319614
-79.4475915,43.64253932
-79.43524652,43.64188104
-79.42290184,43.6412213
-79.41055745,43.6405601
-79.39821336,43.63989745
-79.38586957,43.63923333
-79.73074651,43.66624486
-79.57017181,43.65800827
-79.55782191,43.65736446
-79.52077395,43.6554243
-79.48372861,43.653471
-79.47138075,43.65281698
-79.45903318,43.65216151
-79.44668591,43.65150457
-79.43433893,43.65084617
-79.42199225,43.65018632
-79.40964586,43.64952501
-79.39729977,43.64886224
-79.38495398,43.64819801
-79.37260848,43.64753232
-79.36026329,43.64686517
-80.37274892,43.70569548
