CELL_ID,IntakeID,Year,Class,ClassOrder,Infection,InfectionType,x,y,PC_Urban,4_zones,PC_Natural,pdSTD,orderLCBD,InfectionLCBD,H-PLCBD,HHLCBD
186474,20110609,2011,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-79.49841344,44.01256129,-0.369728124,1,0.301482316,172.3477102,0.3104016,0.03102561,0.3304349,0.34363551
187160,20070371,2007,Avian,Pigeons and Doves,AMPV-1,Viral,-79.44797221,44.0235786,-0.279792874,1,-0.173293218,179.1800125,0.3104016,0.03102561,0.3304349,0.34363551
187171,20073285,2007,Avian,Waterfowl and Waders,Coccidia,Protozoan,-79.31544098,44.01041314,-0.567364646,1,-0.289116846,11.15585413,0.3104016,0.03102561,0.3304349,0.34363551
187227,20074253,2007,Mammalian,Small Rodents and Moles,Fleas,Ectoparasitic,-78.61679003,43.97722818,-0.170001296,1,-0.374458637,63.2194086,0.3104016,0.03102561,0.3304349,0.34363551
189226,20071778,2007,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-79.19789228,44.03623711,-0.395923818,1,0.301482316,3.420188758,0.3104016,0.03102561,0.3304349,0.34363551
189885,20074622,2007,Avian,Waterfowl and Waders,Capillaria,Nematode,-79.48032874,44.05490181,0.038084034,2,0.301482316,604.3377423,0.2055248,0.5218897,0.231619,0.18665939
189887,20073551,2007,Mammalian,Bats,Rabies,Viral,-79.46120158,44.05915411,0.066398909,1,0.207284644,400.684305,0.3104016,0.03102561,0.3304349,0.34363551
190571,20094082,2009,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-79.43190699,44.06580846,0.00688718,1,0.301482316,395.1119189,0.3104016,0.03102561,0.3304349,0.34363551
190591,20083349,2008,Mammalian,Large Carnivores,Sacrpotic Mites,Ecoparasitic,-79.17511534,44.04880522,-0.735791613,1,0.224645631,1.572997769,0.3104016,0.03102561,0.3304349,0.34363551
192624,20072260,2007,Mammalian,Small Rodents and Moles,Fleas,Ectoparasitic,-79.33462997,44.08787908,-0.638986938,1,0.301482316,1.278805996,0.3104016,0.03102561,0.3304349,0.34363551
193322,20072405,2007,Mammalian,Bats,Rabies,Viral,-79.13741962,44.08660421,-0.599656423,1,0.207284644,89.88009979,0.3104016,0.03102561,0.3304349,0.34363551
195369,20070835,2007,Avian,Songbirds,West Nile Virus,Viral,-79.12049782,44.10940644,-0.071106996,1,-0.214035144,381.9042374,0.3104016,0.03102561,0.3304349,0.34363551
195380,20120496,2012,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-78.9934396,44.10311295,-0.55610294,1,0.301482316,28.1060358,0.3104016,0.03102561,0.3304349,0.34363551
195383,20075327,2007,Avian,Pigeons and Doves,Trichonomiasis,Protozoan,-78.94413947,44.10505414,0.243407913,1,-0.07496222,325.2619997,0.3104016,0.03102561,0.3304349,0.34363551
196718,20080065,2008,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-79.30832135,44.13609203,-0.358209219,1,0.301482316,354.0827595,0.3104016,0.03102561,0.3304349,0.34363551
200127,20073068,2007,Mammalian,Small Rodents and Moles,Fleas,Ectoparasitic,-79.31390975,44.18991021,-0.957303665,1,-0.079769976,18.11991348,0.3104016,0.03102561,0.3304349,0.34363551
200204,20075704,2007,Avian,Owls,Lice,Ectoparasitic,-78.35903773,44.13102624,-0.574845338,1,-0.017343755,0.488173751,0.3104016,0.03102561,0.3304349,0.34363551
204969,20082624,2008,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-78.46869748,44.1996858,-0.70368355,1,0.301482316,1.866356765,0.3104016,0.03102561,0.3304349,0.34363551
207605,20070764,2007,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-79.61149602,44.30088182,-1.015972547,1,0.301482316,0,0.3104016,0.03102561,0.3304349,0.34363551
210365,20103229,2010,Avian,Seabirds and Shorebirds,AMPV-1,Viral,-79.20273195,44.31469042,-0.418665272,1,0.159984998,5.937378998,0.3104016,0.03102561,0.3304349,0.34363551
210375,20074489,2007,Mammalian,Small Rodents and Moles,Fleas,Ectoparasitic,-79.079789,44.30335229,-1.082011505,1,-0.079769976,0.126726113,0.3104016,0.03102561,0.3304349,0.34363551
211114,20104122,2010,Mammalian,Bats,Rabies,Viral,-78.36495149,44.27722003,-0.096787595,1,0.301482316,344.9723749,0.3104016,0.03102561,0.3304349,0.34363551
211798,20112976,2011,Mammalian,Large Carnivores,Sacrpotic Mites,Ecoparasitic,-78.33462892,44.27930805,-0.025392566,1,0.301482316,322.4568376,0.3104016,0.03102561,0.3304349,0.34363551
212375,20094194,2009,Mammalian,Large Carnivores,Sacrpotic Mites,Ecoparasitic,-79.65186131,44.3672494,-0.135857663,1,0.301482316,312.3837669,0.3104016,0.03102561,0.3304349,0.34363551
213119,20072872,2007,Mammalian,Small Carnivores,Ticks,Ectoparasitic,-78.87991485,44.33297029,-0.33348629,1,-0.338267074,2.99188991,0.3104016,0.03102561,0.3304349,0.34363551
213845,20073408,2007,Avian,Pigeons and Doves,Coccidia,Protozoan,-78.31900681,44.30720824,0.250883997,2,-0.07496222,653.9930718,0.2055248,0.5218897,0.231619,0.18665939
213846,20071200,2007,Mammalian,Small Rodents and Moles,Fleas,Ectoparasitic,-78.30741597,44.30689853,-0.004734228,1,-0.374458637,263.7862049,0.3104016,0.03102561,0.3304349,0.34363551
224080,20075680,2007,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-78.24179722,44.44231638,-0.946951778,1,0.301482316,4.910430924,0.3104016,0.03102561,0.3304349,0.34363551
